ticket_id,created_at,requester_department,requester_title,request_type,request_summary,details,mandatory_fields,fields_provided,outcome,security_risk_score,resolution_time_hours,approver_role
9cf9c486-5d5a-45fb-b781-e6628e78211a,2024-07-17 23:04:00,Finance,Controller,Permission Change,Temporary admin access to AWS for 3 hours,"Requesting AdministratorAccess role for AWS account acme-prod to handle production incident.
Access needed for 3 hours. Related Jira ticket: INFRA-2171.",Business Justification; Duration; Manager Approval,Business Justification; Duration; Manager Approval,Approved,89,9.0,Security Manager
19a6765d-55a5-4130-b0c5-fa13e27e8dd8,2024-09-06 02:04:00,Engineering,Frontend Engineer,Vendor Approval,"Onboard vendor Flores, Garcia and Abbott for campaign analytics","Flores, Garcia and Abbott provides marketing analytics services. They completed ACME's security questionnaire with a passing score and have a valid SOC 2 Type II report. No PII involved.",Vendor Security Questionnaire; Data Classification; Legal Review,Vendor Security Questionnaire; Legal Review,Info Requested,53,,Security Analyst
3c22c207-7dda-493e-9f19-b741a585d7e2,2024-05-29 08:04:00,IT,IT Specialist,Vendor Approval,"Onboard vendor Sharp, Martin and Young for campaign analytics","Sharp, Martin and Young provides marketing analytics services. They completed ACME's security questionnaire with a passing score and have a valid SOC 2 Type II report. No PII involved.",Vendor Security Questionnaire; Data Classification; Legal Review,Vendor Security Questionnaire; Data Classification; Legal Review,Approved,75,28.0,Security Analyst
846f91f5-46b8-4557-a689-e444b813daf6,2024-11-22 18:04:00,Data Science,Data Scientist,Network Access,Open port 3306 from 10.7.69.0/24 to RDS cluster rds-acme-dev,"Request to allow MySQL traffic from internal subnet 10.7.69.0/24 to RDS cluster rds-acme-dev.
This is needed for data sync during migration. Approved change window is 02:00–04:00 UTC.",Business Justification; Source CIDR; Approval from Engineering Lead,Business Justification; Source CIDR; Approval from Engineering Lead,Approved,61,4.0,Security Manager
b06997a2-c921-43e3-80d1-225bfd39f873,2025-02-21 17:04:00,IT,System Administrator,Firewall Change,Allow SSH to external IP 196.181.12.201 on port 22,"Requesting temporary firewall rule to allow outbound SSH from bastion to vendor IP 196.181.12.201 on port 22.
This is for scheduled support session during the upcoming patch window.",Business Justification; Source System; Destination IP,Business Justification; Source System; Destination IP,Approved,69,15.0,CISO
26f231e7-102a-4ad0-a119-ea722041175d,2025-04-17 04:04:00,IT,IT Support,Firewall Change,Allow SSH to external IP 28.209.234.42 on port 22,"Requesting temporary firewall rule to allow outbound SSH from bastion to vendor IP 28.209.234.42 on port 22.
This is for scheduled support session during the upcoming patch window.",Business Justification; Source System; Destination IP,Business Justification; Source System; Destination IP,Approved,92,22.0,Security Analyst
5ec44854-513d-4a06-ba91-61ea424c1425,2024-10-15 12:04:00,IT,System Administrator,Permission Change,Temporary admin access to AWS for 7 hours,"Requesting AdministratorAccess role for AWS account acme-prod to handle production incident.
Access needed for 7 hours. Related Jira ticket: INFRA-3499.",Business Justification; Duration; Manager Approval,Business Justification; Manager Approval,Info Requested,85,,CISO
e535e5ad-8c24-476a-95e6-1db9540a7682,2025-03-07 22:04:00,Finance,Financial Analyst,Data Export,Export 43GB of anonymized data to S3 bucket acme-dev-sell,"Request to export anonymized user event data (~43GB) for ML model training.
Data to be exported to secure S3 bucket acme-dev-sell. No direct identifiers present.",Business Justification; PII Involved; Data Destination,Business Justification; Data Destination,Info Requested,70,,CISO
8bfb3786-3a32-4cdd-be7a-5b734c90b119,2024-07-22 23:04:00,Sales,Sales Ops Analyst,Cloud Resource Access,ReadOnly access to S3 bucket acme-dev-seven,"Access requested for S3 bucket acme-dev-seven to troubleshoot log ingestion failures.
Data classification: Internal. No customer PII involved.",Business Justification; Data Sensitivity Level,Business Justification; Data Sensitivity Level,Approved,70,38.0,Security Analyst
7adbe15a-6e96-49c5-ae75-99d8a7d1c16c,2024-09-08 22:04:00,Operations,Logistics Coordinator,Firewall Change,Allow SSH to external IP 66.128.165.152 on port 22,"Requesting temporary firewall rule to allow outbound SSH from bastion to vendor IP 66.128.165.152 on port 22.
This is for scheduled support session during the upcoming patch window.",Business Justification; Source System; Destination IP,Business Justification; Source System,Info Requested,74,,Security Analyst
98cce413-adb5-44ee-8b81-83b310f8bf43,2025-01-08 22:04:00,Sales,Sales Ops Analyst,Data Export,Export 43GB of anonymized data to S3 bucket acme-stage-medical,"Request to export anonymized user event data (~43GB) for ML model training.
Data to be exported to secure S3 bucket acme-stage-medical. No direct identifiers present.",Business Justification; PII Involved; Data Destination,Business Justification; Data Destination,Info Requested,66,,Security Manager
